F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,11
M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,ERR2020
M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,ERR2020
I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,ERR2020
F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
F,0.72,0.55,ERR2020,1.9965,0.9035,0.469,0.5215,10
M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
M,0.715,0.565,ERR2020,1.9525,0.7645,0.4185,0.4135,10
I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8
I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,ERR2020
M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,ERR2020
I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,ERR2020
I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,ERR2020
F,0.655,0.51,ERR2020,1.043,0.4795,0.223,0.305,9
M,0.57,0.455,ERR2020,0.952,0.3895,0.2155,0.2745,9
I,0.555,0.43,ERR2020,0.7665,0.341,0.165,0.23,9
M,0.515,0.4,ERR2020,0.6335,0.288,0.145,0.168,9
F,0.555,0.43,ERR2020,0.7545,0.3525,0.1835,0.2015,9
I,0.62,0.47,ERR2020,0.8565,0.3595,0.16,0.295,9
F,0.62,0.475,ERR2020,1.0165,0.4355,0.214,0.325,10
M,0.555,0.45,ERR2020,0.874,0.3275,0.202,0.305,10
M,0.55,0.45,ERR2020,1.0145,0.407,0.2015,0.2875,10
F,0.665,0.5,ERR2020,1.2475,0.4625,0.2955,0.3595,10
I,0.515,0.415,ERR2020,0.7125,0.285,0.152,0.245,10
F,0.545,0.44,ERR2020,0.9185,0.429,0.2015,0.2375,10
