F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,11
M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,ERR2020
M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,ERR2020
I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,ERR2020
F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
F,0.72,0.55,ERR2020,1.9965,0.9035,0.469,0.5215,10
M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
M,0.715,0.565,ERR2020,1.9525,0.7645,0.4185,0.4135,10
I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8
I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,ERR2020
M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,ERR2020
I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,ERR2020
I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,ERR2020
