I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,ERR2020
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,ERR2020
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,ERR2020
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
M,0.32,ERR2020,0.08,0.18,0.08,0.0385,0.055,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,ERR2020
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,ERR2020
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,ERR2020
F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
F,0.595,0.475,0.165,1.148,0.444,ERR2020,0.37,10
F,0.345,0.255,0.1,0.197,0.071,0.051,ERR2020,9
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,ERR2020
F,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9
I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
I,0.395,0.3,0.12,ERR2020,0.1265,0.068,0.0895,8
F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
M,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
F,0.625,0.52,0.18,1.354,0.4845,0.351,0.375,11
M,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11
F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
F,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,11
M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11
M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
F,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,11
M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,4
I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13
F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
M,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9
M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
M,0.65,0.525,0.185,1.488,0.665,0.337,0.378,11
M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
M,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11
M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
