I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,ERR2020
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,ERR2020
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,ERR2020
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
M,0.32,ERR2020,0.08,0.18,0.08,0.0385,0.055,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,ERR2020
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,ERR2020
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,ERR2020
F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
F,0.595,0.475,0.165,1.148,0.444,ERR2020,0.37,10
F,0.345,0.255,0.1,0.197,0.071,0.051,ERR2020,9
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,ERR2020
