Thu Feb  4 04:30:52 2021
rule_repository_top_k.size(): 30
(whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 11
(whole,viscera,)=>shell | whole_supp: 8354 | whole_vio: 58 | whole_conf: 0.993057 | Asupp: 10
(whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 114 | whole_conf: 0.986354 | Asupp: 10
(whole,shell,)=>viscera | whole_supp: 8354 | whole_vio: 152 | whole_conf: 0.981805 | Asupp: 10
(whole,whucked,)=>diameter | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(whole,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(whole,whucked,)=>shell | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 10
(whole,viscera,)=>length | whole_supp: 8354 | whole_vio: 50 | whole_conf: 0.994015 | Asupp: 10
(whole,viscera,)=>height | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 10
(whole,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 56 | whole_conf: 0.993297 | Asupp: 10
(whucked,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 58 | whole_conf: 0.993057 | Asupp: 10
(whucked,viscera,)=>whole | whole_supp: 8354 | whole_vio: 64 | whole_conf: 0.992339 | Asupp: 10
(whole,shell,)=>height | whole_supp: 8354 | whole_vio: 122 | whole_conf: 0.985396 | Asupp: 10
(whole,shell,)=>length | whole_supp: 8354 | whole_vio: 132 | whole_conf: 0.984199 | Asupp: 10
(whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 140 | whole_conf: 0.983242 | Asupp: 10
(whucked,shell,)=>diameter | whole_supp: 8354 | whole_vio: 154 | whole_conf: 0.981566 | Asupp: 10
(whole,whucked,)=>sex | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 12
(whucked,viscera,)=>sex | whole_supp: 8354 | whole_vio: 36 | whole_conf: 0.995691 | Asupp: 10
(whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 52 | whole_conf: 0.993775 | Asupp: 10
(whucked,viscera,)=>length | whole_supp: 8354 | whole_vio: 60 | whole_conf: 0.992818 | Asupp: 10
(whucked,shell,)=>sex | whole_supp: 8354 | whole_vio: 110 | whole_conf: 0.986833 | Asupp: 10
(whole,shell,rings,)=>diameter | whole_supp: 8354 | whole_vio: 34 | whole_conf: 0.995930 | Asupp: 10
(diameter,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 34 | whole_conf: 0.995930 | Asupp: 10
(diameter,viscera,shell,)=>whole | whole_supp: 8354 | whole_vio: 42 | whole_conf: 0.994972 | Asupp: 10
(diameter,whole,rings,)=>shell | whole_supp: 8354 | whole_vio: 86 | whole_conf: 0.989706 | Asupp: 10
(diameter,shell,rings=11,)=>viscera | whole_supp: 974 | whole_vio: 58 | whole_conf: 0.940452 | Asupp: 2
(diameter,shell,rings=11,)=>whole | whole_supp: 974 | whole_vio: 58 | whole_conf: 0.940452 | Asupp: 2
(diameter,whole,shell,)=>whucked | whole_supp: 8354 | whole_vio: 16 | whole_conf: 0.998085 | Asupp: 10
(diameter,viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 10
(length,viscera,shell,)=>diameter | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10

rule_repository.size(): 228
(sex,whole,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 22 | whole_conf: 0.997367 | Asupp: 11
(length,viscera,shell,)=>whole | whole_supp: 8354 | whole_vio: 24 | whole_conf: 0.997127 | Asupp: 10
(diameter,whole,rings,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 10
(whole,shell,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 4
(whole,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(diameter,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(height,viscera,shell,)=>diameter | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(diameter,viscera,shell,)=>whucked | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(diameter,viscera,shell,)=>length | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(height,viscera,shell,)=>whole | whole_supp: 8354 | whole_vio: 42 | whole_conf: 0.994972 | Asupp: 10
(diameter,whucked,shell,)=>whole | whole_supp: 8354 | whole_vio: 46 | whole_conf: 0.994494 | Asupp: 10
(whucked,shell,rings,)=>viscera | whole_supp: 8354 | whole_vio: 56 | whole_conf: 0.993297 | Asupp: 11
(viscera,shell,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 24 | whole_conf: 0.990819 | Asupp: 4
(viscera,shell,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 24 | whole_conf: 0.990819 | Asupp: 4
(diameter,whole,rings,)=>height | whole_supp: 8354 | whole_vio: 78 | whole_conf: 0.990663 | Asupp: 10
(viscera,shell,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 4
(diameter,whole,rings,)=>length | whole_supp: 8354 | whole_vio: 84 | whole_conf: 0.989945 | Asupp: 10
(height,whole,rings,)=>diameter | whole_supp: 8354 | whole_vio: 92 | whole_conf: 0.988987 | Asupp: 10
(height,whole,rings,)=>shell | whole_supp: 8354 | whole_vio: 96 | whole_conf: 0.988509 | Asupp: 10
(whole,shell,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 32 | whole_conf: 0.988078 | Asupp: 3
(length,viscera,rings=11,)=>whole | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(length,viscera,rings=11,)=>diameter | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(length,viscera,rings=11,)=>shell | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(viscera,shell,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 40 | whole_conf: 0.986911 | Asupp: 3
(diameter,whucked,rings,)=>shell | whole_supp: 8354 | whole_vio: 114 | whole_conf: 0.986354 | Asupp: 10
(diameter,whucked,rings=11,)=>whole | whole_supp: 974 | whole_vio: 14 | whole_conf: 0.985626 | Asupp: 2
(diameter,whucked,rings=11,)=>shell | whole_supp: 974 | whole_vio: 14 | whole_conf: 0.985626 | Asupp: 2
(length,diameter,viscera,)=>rings | whole_supp: 8354 | whole_vio: 128 | whole_conf: 0.984678 | Asupp: 10
(diameter,whucked,rings,)=>viscera | whole_supp: 8354 | whole_vio: 130 | whole_conf: 0.984439 | Asupp: 10
(diameter,height,viscera,)=>rings | whole_supp: 8354 | whole_vio: 136 | whole_conf: 0.983720 | Asupp: 10
(viscera,shell,sex=M,)=>diameter | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 3
(viscera,shell,sex=M,)=>whole | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 3
(diameter,whole,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 3
(diameter,whole,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 54 | whole_conf: 0.982330 | Asupp: 3
