M,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10
M,0.715,0.525,ERR2020,1.89,0.95,0.436,0.4305,10
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,ERR2020
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,ERR2020
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,ERR2020
I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,ERR2020
M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10
M,0.685,0.52,0.165,1.519,0.699,ERR2020,0.4,10
I,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,9
I,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,ERR2020
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
F,0.345,0.255,0.1,0.197,0.071,0.051,ERR2020,9
F,0.625,0.485,0.16,1.254,0.591,0.259,ERR2020,9
F,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
I,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7
M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10
F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9
M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
I,0.165,0.12,ERR2020,0.021,0.0075,0.0045,0.014,3
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8
F,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23
M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,10
M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10
M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
M,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10
M,0.68,0.54,0.155,1.534,0.671,0.379,0.384,10
I,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,9
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9
F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,9
M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9
F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11
F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10
M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,10
M,0.615,0.475,0.15,1.0375,0.476,0.2325,0.283,9
M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,9
I,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,9
I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6
M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
F,0.54,0.44,0.16,1.0905,0.391,0.2295,0.355,15
F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8
F,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10
I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
M,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8
M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9
M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21
