F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6
I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,ERR2020
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,ERR2020
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,ERR2020
I,0.16,0.12,0.035,0.021,0.0075,0.0045,ERR2020,5
ERR2020,0.165,0.12,ERR2020,0.021,0.0075,0.0045,0.014,3
F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9
ERR2020,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9
I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6
I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,ERR2020
I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
I,0.42,0.325,0.115,0.314,0.1295,ERR2020,0.1,8
M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
M,0.275,0.2,0.08,0.099,0.037,0.024,ERR2020,5
F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8
ERR2020,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8
