Thu Feb  4 05:19:24 2021
rule_repository_top_k.size(): 30
(viscera,)=>shell | whole_supp: 4270 | whole_vio: 3172 | whole_conf: 0.257143 | Asupp: 10
(viscera,)=>height | whole_supp: 4270 | whole_vio: 2705 | whole_conf: 0.366511 | Asupp: 10
(height,)=>sex | whole_supp: 4270 | whole_vio: 1994 | whole_conf: 0.533021 | Asupp: 9
(viscera,)=>sex | whole_supp: 4270 | whole_vio: 1502 | whole_conf: 0.648244 | Asupp: 9
(rings=9,)=>sex=F | whole_supp: 710 | whole_vio: 468 | whole_conf: 0.340845 | Asupp: 2
(rings=11,)=>sex=F | whole_supp: 492 | whole_vio: 291 | whole_conf: 0.408537 | Asupp: 2
(height,)=>diameter | whole_supp: 4270 | whole_vio: 3822 | whole_conf: 0.104918 | Asupp: 10
(viscera,)=>whole | whole_supp: 4270 | whole_vio: 3297 | whole_conf: 0.227869 | Asupp: 10
(viscera,)=>whucked | whole_supp: 4270 | whole_vio: 3289 | whole_conf: 0.229742 | Asupp: 10
(viscera,)=>diameter | whole_supp: 4270 | whole_vio: 2899 | whole_conf: 0.321077 | Asupp: 10
(whucked,)=>shell | whole_supp: 4270 | whole_vio: 2592 | whole_conf: 0.392974 | Asupp: 10
(whole,)=>viscera | whole_supp: 4270 | whole_vio: 1729 | whole_conf: 0.595082 | Asupp: 10
(whole,)=>shell | whole_supp: 4270 | whole_vio: 1698 | whole_conf: 0.602342 | Asupp: 10
(whole,)=>sex | whole_supp: 4270 | whole_vio: 911 | whole_conf: 0.786651 | Asupp: 9
(whucked,)=>diameter | whole_supp: 4270 | whole_vio: 2358 | whole_conf: 0.447775 | Asupp: 10
(height,shell,)=>viscera | whole_supp: 4270 | whole_vio: 1619 | whole_conf: 0.620843 | Asupp: 10
(height,viscera,)=>shell | whole_supp: 4270 | whole_vio: 955 | whole_conf: 0.776347 | Asupp: 10
(viscera,shell,)=>height | whole_supp: 4270 | whole_vio: 190 | whole_conf: 0.955504 | Asupp: 10
(height,rings,)=>viscera | whole_supp: 4270 | whole_vio: 3653 | whole_conf: 0.144497 | Asupp: 9
(height,rings,)=>shell | whole_supp: 4270 | whole_vio: 3557 | whole_conf: 0.166979 | Asupp: 9
(sex,viscera,)=>shell | whole_supp: 4270 | whole_vio: 2370 | whole_conf: 0.444965 | Asupp: 9
(sex,viscera,)=>height | whole_supp: 4270 | whole_vio: 2063 | whole_conf: 0.516862 | Asupp: 9
(shell,rings,)=>viscera | whole_supp: 4270 | whole_vio: 1851 | whole_conf: 0.566511 | Asupp: 9
(sex,viscera,)=>rings | whole_supp: 4270 | whole_vio: 1847 | whole_conf: 0.567447 | Asupp: 9
(height,rings,)=>sex | whole_supp: 4270 | whole_vio: 1681 | whole_conf: 0.606323 | Asupp: 9
(shell,rings,)=>height | whole_supp: 4270 | whole_vio: 1558 | whole_conf: 0.635129 | Asupp: 9
(viscera,rings,)=>shell | whole_supp: 4270 | whole_vio: 1287 | whole_conf: 0.698595 | Asupp: 9
(height,shell,)=>rings | whole_supp: 4270 | whole_vio: 1246 | whole_conf: 0.708197 | Asupp: 9
(viscera,rings,)=>height | whole_supp: 4270 | whole_vio: 1139 | whole_conf: 0.733255 | Asupp: 9
(shell,rings,)=>sex | whole_supp: 4270 | whole_vio: 854 | whole_conf: 0.800000 | Asupp: 9

rule_repository.size(): 214
(height,shell,)=>sex | whole_supp: 4270 | whole_vio: 785 | whole_conf: 0.816159 | Asupp: 9
(height,viscera,)=>rings | whole_supp: 4270 | whole_vio: 770 | whole_conf: 0.819672 | Asupp: 9
(viscera,rings,)=>sex | whole_supp: 4270 | whole_vio: 619 | whole_conf: 0.855035 | Asupp: 9
(height,viscera,)=>sex | whole_supp: 4270 | whole_vio: 488 | whole_conf: 0.885714 | Asupp: 9
(viscera,shell,)=>rings | whole_supp: 4270 | whole_vio: 156 | whole_conf: 0.963466 | Asupp: 9
(viscera,shell,)=>sex | whole_supp: 4270 | whole_vio: 106 | whole_conf: 0.975176 | Asupp: 9
(viscera,sex=I,)=>shell | whole_supp: 1370 | whole_vio: 866 | whole_conf: 0.367883 | Asupp: 5
(viscera,sex=I,)=>height | whole_supp: 1370 | whole_vio: 733 | whole_conf: 0.464963 | Asupp: 5
(viscera,sex=I,)=>rings | whole_supp: 1370 | whole_vio: 622 | whole_conf: 0.545985 | Asupp: 5
