F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6
I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,ERR2020
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,ERR2020
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,ERR2020
I,0.16,0.12,0.035,0.021,0.0075,0.0045,ERR2020,5
ERR2020,0.165,0.12,ERR2020,0.021,0.0075,0.0045,0.014,3
F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9
ERR2020,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9
I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6
I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,ERR2020
I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
I,0.42,0.325,0.115,0.314,0.1295,ERR2020,0.1,8
M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
M,0.275,0.2,0.08,0.099,0.037,0.024,ERR2020,5
F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8
ERR2020,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8
F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,9
M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9
M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9
F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9
F,0.58,0.46,0.135,0.926,0.4025,0.208,0.275,8
I,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,8
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
I,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7
I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
I,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10
I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9
I,0.16,0.12,ERR2020,0.021,0.0075,0.0045,0.005,5
