F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,ERR2020
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,ERR2020
I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,ERR2020
F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
F,0.72,0.55,ERR2020,1.52,0.637,0.325,0.435,10
F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
F,0.715,0.585,ERR2020,2.0725,0.8655,0.4095,0.565,10
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,ERR2020
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,ERR2020
I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
I,0.41,0.315,0.095,0.2805,0.114,0.0345,ERR2020,7
M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9
M,0.655,0.52,0.17,1.1445,0.53,0.223,ERR2020,9
ERR2020,0.165,0.12,ERR2020,0.021,0.0075,0.0045,0.014,3
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
M,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
M,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10
F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4
M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
F,0.605,0.485,0.16,1.0565,0.37,ERR2020,0.355,10
F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
I,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,6
I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
