F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,ERR2020
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,ERR2020
I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,ERR2020
F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
F,0.72,0.55,ERR2020,1.52,0.637,0.325,0.435,10
F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
F,0.715,0.585,ERR2020,2.0725,0.8655,0.4095,0.565,10
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,ERR2020
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,ERR2020
I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
I,0.41,0.315,0.095,0.2805,0.114,0.0345,ERR2020,7
M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9
M,0.655,0.52,0.17,1.1445,0.53,0.223,ERR2020,9
