M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,ERR2020
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,ERR2020
F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
F,0.72,0.55,ERR2020,1.52,0.637,0.325,0.435,10
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
F,0.72,0.575,ERR2020,2.1505,1.0745,0.382,0.585,10
I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,ERR2020
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,ERR2020
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,ERR2020
I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,ERR2020
I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,ERR2020
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,ERR2020
